"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1303601","Santa Isabel do Rio Negro (AM)","232","Pessoas","196","Pessoas","11","Pessoas","1709","Pessoas","12016","Pessoas"
"MU","1303700","Santo Antônio do Içá (AM)","1136","Pessoas","444","Pessoas","2","Pessoas","12311","Pessoas","14318","Pessoas"
"MU","1303809","São Gabriel da Cachoeira (AM)","1682","Pessoas","446","Pessoas","12","Pessoas","3732","Pessoas","45919","Pessoas"
"MU","1303908","São Paulo de Olivença (AM)","784","Pessoas","307","Pessoas","6","Pessoas","11979","Pessoas","19890","Pessoas"
"MU","1303957","São Sebastião do Uatumã (AM)","1974","Pessoas","295","Pessoas","11","Pessoas","9333","Pessoas","57","Pessoas"
"MU","1304005","Silves (AM)","1055","Pessoas","741","Pessoas","5","Pessoas","9290","Pessoas","466","Pessoas"
"MU","1304062","Tabatinga (AM)","6569","Pessoas","1871","Pessoas","69","Pessoas","30735","Pessoas","27518","Pessoas"
"MU","1304104","Tapauá (AM)","2396","Pessoas","1033","Pessoas","2","Pessoas","13369","Pessoas","2797","Pessoas"
"MU","1304203","Tefé (AM)","6630","Pessoas","2785","Pessoas","42","Pessoas","56419","Pessoas","7790","Pessoas"
"MU","1304237","Tonantins (AM)","708","Pessoas","255","Pessoas","-","Pessoas","10931","Pessoas","7353","Pessoas"
"MU","1304260","Uarini (AM)","1148","Pessoas","256","Pessoas","10","Pessoas","10282","Pessoas","2734","Pessoas"
"MU","1304302","Urucará (AM)","2033","Pessoas","326","Pessoas","17","Pessoas","16061","Pessoas","194","Pessoas"
"MU","1304401","Urucurituba (AM)","3202","Pessoas","593","Pessoas","66","Pessoas","20043","Pessoas","41","Pessoas"
