"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1508001","Tomé-Açu (PA)","19818","Domicílios"
"MU","1508035","Tracuateua (PA)","8736","Domicílios"
"MU","1508050","Trairão (PA)","4688","Domicílios"
"MU","1508084","Tucumã (PA)","12825","Domicílios"
"MU","1508100","Tucuruí (PA)","27400","Domicílios"
"MU","1508126","Ulianópolis (PA)","9700","Domicílios"
"MU","1508159","Uruará (PA)","14245","Domicílios"
"MU","1508209","Vigia (PA)","15791","Domicílios"
"MU","1508308","Viseu (PA)","16235","Domicílios"
"MU","1508357","Vitória do Xingu (PA)","4906","Domicílios"
"MU","1508407","Xinguara (PA)","17900","Domicílios"
"MU","1600055","Serra do Navio (AP)","1364","Domicílios"
"MU","1600105","Amapá (AP)","2055","Domicílios"
"MU","1600154","Pedra Branca do Amapari (AP)","3290","Domicílios"
"MU","1600204","Calçoene (AP)","2778","Domicílios"
"MU","1600212","Cutias (AP)","1156","Domicílios"
"MU","1600238","Ferreira Gomes (AP)","1796","Domicílios"
"MU","1600253","Itaubal (AP)","1361","Domicílios"
"MU","1600279","Laranjal do Jari (AP)","10331","Domicílios"
"MU","1600303","Macapá (AP)","123482","Domicílios"
"MU","1600402","Mazagão (AP)","5321","Domicílios"
"MU","1600501","Oiapoque (AP)","7041","Domicílios"
"MU","1600535","Porto Grande (AP)","5012","Domicílios"
"MU","1600550","Pracuúba (AP)","913","Domicílios"
"MU","1600600","Santana (AP)","28794","Domicílios"
"MU","1600709","Tartarugalzinho (AP)","3321","Domicílios"
"MU","1600808","Vitória do Jari (AP)","3006","Domicílios"
"MU","1700251","Abreulândia (TO)","925","Domicílios"
"MU","1700301","Aguiarnópolis (TO)","1440","Domicílios"
"MU","1700350","Aliança do Tocantins (TO)","1852","Domicílios"
"MU","1700400","Almas (TO)","2079","Domicílios"
"MU","1700707","Alvorada (TO)","3123","Domicílios"
"MU","1701002","Ananás (TO)","3182","Domicílios"
"MU","1701051","Angico (TO)","894","Domicílios"
"MU","1701101","Aparecida do Rio Negro (TO)","1659","Domicílios"
"MU","1701309","Aragominas (TO)","1834","Domicílios"
"MU","1701903","Araguacema (TO)","2061","Domicílios"
"MU","1702000","Araguaçu (TO)","3052","Domicílios"
"MU","1702109","Araguaína (TO)","57633","Domicílios"
"MU","1702158","Araguanã (TO)","1468","Domicílios"
"MU","1702208","Araguatins (TO)","10210","Domicílios"
"MU","1702307","Arapoema (TO)","1962","Domicílios"
"MU","1702406","Arraias (TO)","3727","Domicílios"
"MU","1702554","Augustinópolis (TO)","5667","Domicílios"
"MU","1702703","Aurora do Tocantins (TO)","1273","Domicílios"
"MU","1702901","Axixá do Tocantins (TO)","2915","Domicílios"
"MU","1703008","Babaçulândia (TO)","2682","Domicílios"
"MU","1703057","Bandeirantes do Tocantins (TO)","1161","Domicílios"
"MU","1703073","Barra do Ouro (TO)","1363","Domicílios"
"MU","1703107","Barrolândia (TO)","1753","Domicílios"
"MU","1703206","Bernardo Sayão (TO)","1520","Domicílios"
"MU","1703305","Bom Jesus do Tocantins (TO)","1337","Domicílios"
